                                         car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                          
 SP-3543402-B040F33DD0AD48E48B00389E4CF6EEF7;30.8784;SP;Ribeirão Preto;3.0801;IRU;AT;Aguardando analise
 SP-3543402-24CA69D76FA74C2180CFBB7F6F21E886;66.4393;SP;Ribeirão Preto;6.6439;IRU;AT;Aguardando analise
 SP-3543402-533F84A045784B52A154A2E4336C5F61;9.5974;SP;Ribeirão Preto;0.9597;IRU;AT;Aguardando analise
 SP-3543402-14C17CC001154E738FD46FFCF8EA2192;4.3202;SP;Ribeirão Preto;0.4320;IRU;AT;Aguardando analise
 SP-3543402-CFE7F0A5FCD2497F90CECB4F4F862679;38.3980;SP;Ribeirão Preto;3.7951;IRU;AT;Aguardando analise
 SP-3543402-C37740975053438F8CF38309BC59D5F7;530.3207;SP;Ribeirão Preto;53.0043;IRU;AT;Aguardando analise
 SP-3543402-714D15CF757A4B048B2A8216DDF04842;50.6424;SP;Ribeirão Preto;5.0642;IRU;AT;Aguardando analise
 SP-3543402-166222ECBD3E49F6B8C9D85741B9E09E;19.8124;SP;Ribeirão Preto;1.9812;IRU;AT;Aguardando analise
 SP-3543402-7A00997DDF5E484392E938B618988BB8;60.5006;SP;Ribeirão Preto;6.0185;IRU;AT;Aguardando analise
 SP-3543402-BBF64FB8B02C4A0B83D4B56EA81D2096;0.8569;SP;Ribeirão Preto;0.0741;IRU;AT;Aguardando análise
 SP-3543402-7EF69B0CDB2A4B8B8CF2F03A9E81FC1B;30.6809;SP;Ribeirão Preto;3.0681;IRU;AT;Aguardando analise
 SP-3543402-BD1C609774F84FEAACDAE6AD2D5DB3B0;14.5157;SP;Ribeirão Preto;1.4516;IRU;AT;Aguardando analise
 SP-3543402-3A3D58B2A8AE423CBC566725F367E638;12.6374;SP;Ribeirão Preto;1.2637;IRU;AT;Aguardando analise
